YEAR,MO,DY,HR,ALLSKY_SFC_UV_INDEX,RH2M,PS,WS10M,PRECTOTCORR,WD10M,SZA,T2M
2018,1,1,0,0,83.06,99.52,1.6,0.02,36.4,90,24.46
2018,1,1,1,0,85.1,99.43,1.64,0.02,41.5,90,24.01
2018,1,1,2,0,86.54,99.38,1.73,0.01,49.7,90,23.63
2018,1,1,3,0,87.57,99.38,1.89,0.01,58,90,23.34
2018,1,1,4,0,88.54,99.43,2.03,0.01,65.2,90,23
2018,1,1,5,0,89.1,99.5,2.13,0.01,71.7,90,22.73
2018,1,1,6,0.08,87.59,99.59,2.17,0,75.3,82.37,23.64
2018,1,1,7,0.93,79.48,99.68,1.99,0,70.7,69.04,25.39
2018,1,1,8,3.33,73.44,99.73,1.66,0,50.6,56.23,26.57
2018,1,1,9,6.5,67.79,99.71,1.39,0,19.3,44.51,27.57
2018,1,1,10,9.12,64.95,99.65,1.48,0,347.5,35.04,28.25
2018,1,1,11,10.68,63.3,99.56,1.92,0,327.1,30.04,28.72
2018,1,1,12,10.05,62.79,99.45,2.42,0,319,31.72,28.94
2018,1,1,13,7.6,63.05,99.37,2.83,0.01,316.4,39.23,28.93
2018,1,1,14,4.9,63.64,99.33,3.04,0.02,315.8,50,28.74
2018,1,1,15,2.17,64.9,99.33,2.96,0.03,316.1,62.34,28.37
2018,1,1,16,0.38,67.79,99.37,2.56,0.03,317.7,75.46,27.83
2018,1,1,17,0.03,73.93,99.43,2.14,0.03,316.9,87.74,26.55
2018,1,1,18,0,74.11,99.5,1.9,0.03,314.1,90,26.06
2018,1,1,19,0,73.14,99.57,1.59,0.03,314.2,90,25.93
2018,1,1,20,0,71.5,99.61,1.24,0.02,314.3,90,25.96
2018,1,1,21,0,71.97,99.61,0.88,0.01,314.5,90,25.77
2018,1,1,22,0,73.71,99.58,0.59,0.02,321.2,90,25.43
2018,1,1,23,0,74.86,99.52,0.51,0.02,340.5,90,25.05
2018,1,2,0,0,75.84,99.45,0.6,0.02,0,90,24.73
2018,1,2,1,0,76.95,99.38,0.74,0.01,14.8,90,24.41
2018,1,2,2,0,78.62,99.36,0.92,0.01,29.9,90,23.98
2018,1,2,3,0,80.01,99.37,1.09,0,43.5,90,23.58
2018,1,2,4,0,79.87,99.42,1.2,0,54.2,90,23.47
2018,1,2,5,0,80.25,99.5,1.29,0,59.3,90,23.27
2018,1,2,6,0.05,81.08,99.58,1.37,0,55.4,82.47,24.01
2018,1,2,7,0.77,74.42,99.66,1.69,0,44.8,69.12,25.48
2018,1,2,8,2.42,68.78,99.71,1.83,0,20.5,56.29,26.9
2018,1,2,9,5.62,66.35,99.69,1.89,0,4.9,44.55,27.75
2018,1,2,10,8.12,64.45,99.65,1.96,0.01,349.4,35.03,28.36
2018,1,2,11,8.85,62.98,99.57,2.13,0.22,332.4,29.97,28.8
2018,1,2,12,8.62,62.27,99.47,2.41,0.47,316.8,31.6,29.02
2018,1,2,13,6.8,62.32,99.37,2.65,0.79,306.6,39.09,29.01
2018,1,2,14,4.18,62.91,99.3,2.78,0.75,304.6,49.86,28.76
2018,1,2,15,1.75,64.42,99.3,2.76,1.35,312.1,62.21,28.34
2018,1,2,16,0.32,67.71,99.35,2.61,2.12,324.7,75.34,27.7
2018,1,2,17,0.03,74.51,99.44,2.41,2.23,337.1,87.68,26.4
2018,1,2,18,0,75.6,99.53,2.28,2.35,348.1,90,25.92
2018,1,2,19,0,74.68,99.61,2.04,2.49,2.8,90,25.79
2018,1,2,20,0,73.79,99.67,1.77,1.99,21.2,90,25.68
2018,1,2,21,0,74.31,99.68,1.6,1.14,42.5,90,25.42
2018,1,2,22,0,76.04,99.65,1.64,0.63,59.7,90,25.04
2018,1,2,23,0,78.1,99.59,1.81,0.54,68.7,90,24.7
2018,1,3,0,0,79.92,99.5,1.98,0.58,72.7,90,24.45
2018,1,3,1,0,81.23,99.42,2.07,0.5,78,90,24.23
2018,1,3,2,0,81.8,99.37,2.09,0.27,84.5,90,24
2018,1,3,3,0,81.89,99.38,2.03,0.11,89.4,90,23.8
2018,1,3,4,0,81.71,99.43,1.93,0.05,88.8,90,23.68
2018,1,3,5,0,81.85,99.51,1.87,0.07,80.8,90,23.58
2018,1,3,6,0.05,82.78,99.62,1.91,0.03,67.6,82.56,24.45
2018,1,3,7,0.85,77.29,99.72,2.26,0.08,53.1,69.19,25.93
2018,1,3,8,2.92,70.8,99.77,2.42,0.06,27,56.35,27.24
2018,1,3,9,5.65,67.63,99.76,2.78,0.13,9.9,44.57,27.97
2018,1,3,10,8.05,65.14,99.7,3.05,0.23,359.4,35.01,28.5
2018,1,3,11,9.82,63.31,99.62,3.21,0.26,351,29.89,28.88
2018,1,3,12,9.38,62.13,99.52,3.31,0.42,343.5,31.48,29.07
2018,1,3,13,7.4,62.01,99.43,3.37,0.42,336.8,38.95,28.99
2018,1,3,14,4.5,62.85,99.4,3.39,0.39,334.5,49.72,28.75
2018,1,3,15,1.88,64.85,99.41,3.27,0.29,335.4,62.07,28.44
2018,1,3,16,0.35,68.45,99.47,3.12,0.18,338,75.21,27.87
2018,1,3,17,0.03,76.59,99.54,2.9,0.17,341.1,87.61,26.54
2018,1,3,18,0,79.61,99.63,3.01,0.19,350.3,90,25.8
2018,1,3,19,0,83.17,99.74,3.26,0.19,6,90,25.27
2018,1,3,20,0,86.2,99.8,3.76,0.27,23.2,90,24.78
2018,1,3,21,0,88.2,99.82,4.37,0.16,37.5,90,24.32
2018,1,3,22,0,89.05,99.79,4.86,0.16,48.1,90,23.85
2018,1,3,23,0,89.1,99.74,5.02,0.09,53.9,90,23.37
2018,1,4,0,0,88.46,99.65,5.08,0.03,56.2,90,22.98
2018,1,4,1,0,88.29,99.58,5.08,0.01,56.3,90,22.63
2018,1,4,2,0,88.47,99.54,4.88,0.01,55.6,90,22.29
2018,1,4,3,0,88.8,99.54,4.68,0.01,54.2,90,22
2018,1,4,4,0,89.07,99.6,4.47,0.01,53.5,90,21.76
2018,1,4,5,0,88.9,99.67,4.3,0.01,52.9,90,21.57
2018,1,4,6,0.05,85.47,99.77,4.44,0,51.9,82.65,22.61
2018,1,4,7,0.82,79.47,99.87,4.99,0,47.7,69.26,24.13
2018,1,4,8,2.7,73.15,99.91,5.06,0,40.1,56.4,25.58
2018,1,4,9,5.5,66.97,99.9,5.21,0,33.7,44.6,26.77
