YEAR,MO,DY,HR,WD10M,T2M,SZA,ALLSKY_SFC_UV_INDEX,RH2M,PRECTOTCORR,WS10M,PS
2018,1,1,0,19.4,25.21,90,0,85.21,0,3.4,100.88
2018,1,1,1,13.2,25.11,90,0,85.3,0,3.29,100.79
2018,1,1,2,8.8,25.01,90,0,85.46,0,3.2,100.73
2018,1,1,3,7.5,24.94,90,0,85.51,0,3.13,100.72
2018,1,1,4,10.1,24.91,90,0,85.4,0,3.07,100.76
2018,1,1,5,15.5,24.89,90,0,85.2,0,3,100.83
2018,1,1,6,21,25.36,82.74,0.08,83.9,0.01,2.88,100.92
2018,1,1,7,22.5,26.13,69.6,1.02,79.34,0,2.95,101.01
2018,1,1,8,18.6,26.65,57.11,3.2,76.26,0,2.85,101.07
2018,1,1,9,7.9,27.1,45.9,6.2,74.13,0,2.9,101.06
2018,1,1,10,355.5,27.47,37.14,8.73,72.55,0,3.2,101.01
2018,1,1,11,346.7,27.71,32.89,9.65,71.39,0,3.62,100.93
2018,1,1,12,343.2,27.84,34.85,7.57,70.4,0,3.99,100.83
2018,1,1,13,344.8,27.87,42.16,7.03,69.5,0,4.15,100.74
2018,1,1,14,350,27.84,52.62,2.78,68.56,0,3.98,100.68
2018,1,1,15,359.2,27.72,64.72,1.25,68.22,0,3.66,100.66
2018,1,1,16,12.9,27.39,77.66,0.2,69.96,0,3.31,100.69
2018,1,1,17,30.5,26.6,88.8,0,75.88,0,2.96,100.75
2018,1,1,18,45.1,26.21,90,0,78.59,0,3.15,100.82
2018,1,1,19,55.1,25.97,90,0,80.7,0,3.43,100.88
2018,1,1,20,61.8,25.75,90,0,82.57,0,3.66,100.93
2018,1,1,21,65.6,25.53,90,0,84.24,0,3.8,100.93
2018,1,1,22,67.4,25.34,90,0,85.8,0,3.83,100.9
2018,1,1,23,67.4,25.18,90,0,86.98,0,3.78,100.85
2018,1,2,0,65.3,25.04,90,0,87.8,0.01,3.61,100.78
2018,1,2,1,61.3,24.91,90,0,88.62,0.01,3.4,100.71
2018,1,2,2,54.9,24.79,90,0,89.44,0.03,3.24,100.68
2018,1,2,3,45.3,24.73,90,0,89.82,0.03,3.22,100.7
2018,1,2,4,35,24.74,90,0,89.37,0.03,3.38,100.76
2018,1,2,5,28.1,24.78,90,0,88.66,0.01,3.57,100.84
2018,1,2,6,26.1,25.38,82.83,0.05,86.02,0.01,3.56,100.93
2018,1,2,7,26.1,26.16,69.67,0.82,81.82,0.01,3.69,101
2018,1,2,8,22.7,26.69,57.17,2.72,78.88,0.01,3.49,101.04
2018,1,2,9,16.2,27.2,45.92,5.4,75.84,0.01,3.37,101.03
2018,1,2,10,9.1,27.64,37.12,7.35,73.15,0.02,3.48,100.99
2018,1,2,11,3.7,27.92,32.82,7.72,71.53,0.02,3.87,100.91
2018,1,2,12,0.8,28.07,34.73,7.22,70.47,0.02,4.24,100.83
2018,1,2,13,1.3,28.07,42.02,5.5,69.61,0.02,4.41,100.73
2018,1,2,14,6.6,27.97,52.49,3.2,69.05,0.01,4.43,100.67
2018,1,2,15,15.1,27.8,64.58,1.2,69.27,0.01,4.54,100.67
2018,1,2,16,24.4,27.39,77.54,0.17,71.67,0.01,4.63,100.71
2018,1,2,17,33.9,26.62,88.74,0,76.86,0,4.37,100.78
2018,1,2,18,41.4,26.24,90,0,79.27,0,4.4,100.86
2018,1,2,19,46.7,26.02,90,0,80.61,0,4.39,100.95
2018,1,2,20,51,25.86,90,0,81.43,0,4.31,101.01
2018,1,2,21,55.2,25.75,90,0,81.97,0,4.15,101.02
2018,1,2,22,59.5,25.63,90,0,82.43,0,3.96,100.99
2018,1,2,23,62.4,25.52,90,0,82.63,0,3.73,100.92
2018,1,3,0,61.3,25.4,90,0,82.86,0,3.56,100.85
2018,1,3,1,56.2,25.34,90,0,82.91,0.01,3.49,100.78
